product_name,brand,price,ram,storage,screen_size,resolution,chipset,os,rear_camera,front_camera,battery,dimensions,weight,rating_value,rating_count,image_url
HONOR WIN RT 5G,HONOR,10089000,12,256,6.83,1272x2800,Snapdragon 8 Elite (3 nm),"Android 16, MagicOS 10",50 + 12 MP,"50 MP, f/2.0",10000,163.1x76.6x8.3,225,5,1,https://www.duchuymobile.com/images/detailed/88/honor-win-rt.jpg
OPPO A6L 5G,OPPO,6699000,12,256,6.8,,Snapdragon 7 Gen 3,"Android 15, ColorOS 15",50 + 2 MP,32MP,7000,,,5,1,https://www.duchuymobile.com/images/detailed/88/oppo-a6l.jpg
Xiaomi Redmi Note 15 Pro 4G,Xiaomi,7699000,12,256,6.77,1080x2392,Helio G200-Ultra 8 nhân,Xiaomi HyperOS 2.2,Chính 200MP & Phụ 8 MP,32MP,6500,163.22x76.29x7.96,195,5,3,https://www.duchuymobile.com/images/detailed/89/redmi-note-15-pro-den.png
HONOR Win 5G,HONOR,14959000,12,256,6.83,1272x2800,Snapdragon 8 Elite Gen 5 (3 nm),"Android 16, MagicOS 10",50 + 50 + 12 MP,"50 MP, f/2.0",10000,163.1x76.6x8.3,229,5,1,https://www.duchuymobile.com/images/detailed/88/honor-win-xanh.jpg
realme C85,Realme,4629000,6,128,6.8,720x1570,Snapdragon 685 8 nhân,Android 15,Chính 50 MP & Cảm biến Flicker,8MP,7000,166.18x78.03x8.38,212,5,1,https://www.duchuymobile.com/images/detailed/88/realme-c85.jpg
Motorola Moto G Power,Motorola,7899000,8,128,6.8,1080x2388,Dimensity 6300 (6 nm),Android 16,50 + 8 MP,32 MP,5200,,,5,1,https://www.duchuymobile.com/images/detailed/88/motorola-moto-g-power-2026.jpg
RedMagic 11 Pro 5G,RedMagic,21499000,16,512,6.85,1216x2688,Snapdragon 8 Elite Gen 5 (3 nm),Android 16,50 + 50 + 2 MP,"16 MP, f/2.0",8000,163.8x76.5x8.9,230,5,1,https://www.duchuymobile.com/images/detailed/88/red-magic-11-pro-bac.jpg
OPPO Reno15 Pro 5G,OPPO,16799000,12,512,6.32,1216x2649,Dimensity 8450 5G 8 nhân,"Android 16, ColorOS 16",200MP + 50MP + 50MP,50 MP,6200,151.21x72.42x8.13,,5,3,https://www.duchuymobile.com/images/detailed/88/oppo-reno15-pro-xanh.jpg
OPPO Reno15 Pro Mini 5G,OPPO,17519000,12,512,6.32,1216x2640,Dimensity 8450 (4 nm),"Android 16, ColorOS 16",200 + 50 + 50 MP,"50 MP,",6200,151.2x72.4x8,187,5,1,https://www.duchuymobile.com/images/detailed/89/oppo-reno15-pro-mini-xanh.jpg
OPPO Reno15 Pro 5G,OPPO,15899000,12,256,6.32,1216x2649,Dimensity 8450 5G 8 nhân,"Android 16, ColorOS 16",200MP + 50MP + 50MP,50 MP,6200,151.21x72.42x8.13,,5,3,https://www.duchuymobile.com/images/detailed/88/oppo-reno15-pro-5g-nau.jpg
Xiaomi Redmi Note 15 Pro 4G,Xiaomi,7099000,8,256,6.77,1080x2392,Helio G200-Ultra 8 nhân,Xiaomi HyperOS 2.2,Chính 200MP & Phụ 8 MP,32MP,6500,163.22x76.29x7.96,195,5,4,https://www.duchuymobile.com/images/detailed/89/redmi-note-15-pro-vang.png
Xiaomi Redmi Note 15 5G,Xiaomi,6469000,8,256,6.77,1080x2392,Snapdragon 6 Gen 3 8 nhân,Xiaomi HyperOS 2,Chính 108 MP & Phụ 8 MP,20MP,5520,164x75.42x7.35,178,5,3,https://www.duchuymobile.com/images/detailed/89/xiaomi-redmi-note-15-5g-den.png
Vivo iQOO Z11 Turbo 5G,Vivo,10169000,12,256,6.59,1260x2750,Snapdragon 8 Gen 5 (3 nm),"Android 16, OriginOS 6",200 + 8 MP,32 MP,7600,157.6x74.4x7.9,202,5,1,https://www.duchuymobile.com/images/detailed/89/vivo-iqoo-z11-turbo-11-xanh.jpg
